ID Gender,Gender,ID Industry Group,Industry Group,ID Year,Year,Median Earnings by Industry and Gender,Median Earnings by Industry and Gender Moe,Geography,ID Geography,Slug Geography
0,"Male",1,"Agriculture, Forestry, Fishing & Hunting, & Mining",2021,"2021",46008,8191,"Charlotte, NC","16000US3712000","charlotte-nc"
0,"Male",2,"Construction",2021,"2021",38084,1047,"Charlotte, NC","16000US3712000","charlotte-nc"
0,"Male",3,"Manufacturing",2021,"2021",50272,3552,"Charlotte, NC","16000US3712000","charlotte-nc"
0,"Male",4,"Wholesale Trade",2021,"2021",57365,5096,"Charlotte, NC","16000US3712000","charlotte-nc"
0,"Male",5,"Retail Trade",2021,"2021",33111,1475,"Charlotte, NC","16000US3712000","charlotte-nc"
0,"Male",6,"Transportation & Warehousing, & Utilities",2021,"2021",45349,3371,"Charlotte, NC","16000US3712000","charlotte-nc"
0,"Male",7,"Information",2021,"2021",62760,5714,"Charlotte, NC","16000US3712000","charlotte-nc"
0,"Male",8,"Finance & Insurance, & Real Estate & Rental & Leasing",2021,"2021",98155,2888,"Charlotte, NC","16000US3712000","charlotte-nc"
0,"Male",9,"Professional, Scientific, & Management, & Administrative & Waste Management Services",2021,"2021",73746,3177,"Charlotte, NC","16000US3712000","charlotte-nc"
0,"Male",10,"Educational Services, & Health Care & Social Assistance",2021,"2021",49035,3397,"Charlotte, NC","16000US3712000","charlotte-nc"
0,"Male",11,"Arts, Entertainment, & Recreation, & Accommodations & Food Services",2021,"2021",24222,2819,"Charlotte, NC","16000US3712000","charlotte-nc"
0,"Male",13,"Other Services Except Public Administration",2021,"2021",35863,2914,"Charlotte, NC","16000US3712000","charlotte-nc"
0,"Male",14,"Public Administration",2021,"2021",62995,5495,"Charlotte, NC","16000US3712000","charlotte-nc"
1,"Female",1,"Agriculture, Forestry, Fishing & Hunting, & Mining",2021,"2021",20568,11417,"Charlotte, NC","16000US3712000","charlotte-nc"
1,"Female",2,"Construction",2021,"2021",39940,2696,"Charlotte, NC","16000US3712000","charlotte-nc"
1,"Female",3,"Manufacturing",2021,"2021",41996,3755,"Charlotte, NC","16000US3712000","charlotte-nc"
1,"Female",4,"Wholesale Trade",2021,"2021",42883,4818,"Charlotte, NC","16000US3712000","charlotte-nc"
1,"Female",5,"Retail Trade",2021,"2021",24754,1782,"Charlotte, NC","16000US3712000","charlotte-nc"
1,"Female",6,"Transportation & Warehousing, & Utilities",2021,"2021",37595,4421,"Charlotte, NC","16000US3712000","charlotte-nc"
1,"Female",7,"Information",2021,"2021",44922,2041,"Charlotte, NC","16000US3712000","charlotte-nc"
1,"Female",8,"Finance & Insurance, & Real Estate & Rental & Leasing",2021,"2021",65696,2566,"Charlotte, NC","16000US3712000","charlotte-nc"
1,"Female",9,"Professional, Scientific, & Management, & Administrative & Waste Management Services",2021,"2021",44615,2518,"Charlotte, NC","16000US3712000","charlotte-nc"
1,"Female",10,"Educational Services, & Health Care & Social Assistance",2021,"2021",40877,907,"Charlotte, NC","16000US3712000","charlotte-nc"
1,"Female",11,"Arts, Entertainment, & Recreation, & Accommodations & Food Services",2021,"2021",19191,1614,"Charlotte, NC","16000US3712000","charlotte-nc"
1,"Female",13,"Other Services Except Public Administration",2021,"2021",26452,3323,"Charlotte, NC","16000US3712000","charlotte-nc"
1,"Female",14,"Public Administration",2021,"2021",47889,5269,"Charlotte, NC","16000US3712000","charlotte-nc"
0,"Male",1,"Agriculture, Forestry, Fishing & Hunting, & Mining",2020,"2020",41250,14076,"Charlotte, NC","16000US3712000","charlotte-nc"
0,"Male",2,"Construction",2020,"2020",35355,1351,"Charlotte, NC","16000US3712000","charlotte-nc"
0,"Male",3,"Manufacturing",2020,"2020",50470,3067,"Charlotte, NC","16000US3712000","charlotte-nc"
0,"Male",4,"Wholesale Trade",2020,"2020",46364,5150,"Charlotte, NC","16000US3712000","charlotte-nc"
0,"Male",5,"Retail Trade",2020,"2020",31890,1140,"Charlotte, NC","16000US3712000","charlotte-nc"
0,"Male",6,"Transportation & Warehousing, & Utilities",2020,"2020",43986,3351,"Charlotte, NC","16000US3712000","charlotte-nc"
0,"Male",7,"Information",2020,"2020",59331,4661,"Charlotte, NC","16000US3712000","charlotte-nc"
0,"Male",8,"Finance & Insurance, & Real Estate & Rental & Leasing",2020,"2020",91565,2823,"Charlotte, NC","16000US3712000","charlotte-nc"
0,"Male",9,"Professional, Scientific, & Management, & Administrative & Waste Management Services",2020,"2020",66111,1944,"Charlotte, NC","16000US3712000","charlotte-nc"
0,"Male",10,"Educational Services, & Health Care & Social Assistance",2020,"2020",46017,2493,"Charlotte, NC","16000US3712000","charlotte-nc"
0,"Male",11,"Arts, Entertainment, & Recreation, & Accommodations & Food Services",2020,"2020",22657,1432,"Charlotte, NC","16000US3712000","charlotte-nc"
0,"Male",13,"Other Services Except Public Administration",2020,"2020",33747,2612,"Charlotte, NC","16000US3712000","charlotte-nc"
0,"Male",14,"Public Administration",2020,"2020",54516,2836,"Charlotte, NC","16000US3712000","charlotte-nc"
1,"Female",1,"Agriculture, Forestry, Fishing & Hunting, & Mining",2020,"2020",11693,11857,"Charlotte, NC","16000US3712000","charlotte-nc"
1,"Female",2,"Construction",2020,"2020",38744,1846,"Charlotte, NC","16000US3712000","charlotte-nc"
1,"Female",3,"Manufacturing",2020,"2020",39847,4103,"Charlotte, NC","16000US3712000","charlotte-nc"
1,"Female",4,"Wholesale Trade",2020,"2020",41306,4600,"Charlotte, NC","16000US3712000","charlotte-nc"
1,"Female",5,"Retail Trade",2020,"2020",22237,1715,"Charlotte, NC","16000US3712000","charlotte-nc"
1,"Female",6,"Transportation & Warehousing, & Utilities",2020,"2020",35952,3216,"Charlotte, NC","16000US3712000","charlotte-nc"
1,"Female",7,"Information",2020,"2020",44716,3696,"Charlotte, NC","16000US3712000","charlotte-nc"
1,"Female",8,"Finance & Insurance, & Real Estate & Rental & Leasing",2020,"2020",59165,3790,"Charlotte, NC","16000US3712000","charlotte-nc"
1,"Female",9,"Professional, Scientific, & Management, & Administrative & Waste Management Services",2020,"2020",41089,2163,"Charlotte, NC","16000US3712000","charlotte-nc"
1,"Female",10,"Educational Services, & Health Care & Social Assistance",2020,"2020",38183,1101,"Charlotte, NC","16000US3712000","charlotte-nc"
1,"Female",11,"Arts, Entertainment, & Recreation, & Accommodations & Food Services",2020,"2020",18506,1226,"Charlotte, NC","16000US3712000","charlotte-nc"
1,"Female",13,"Other Services Except Public Administration",2020,"2020",22254,2419,"Charlotte, NC","16000US3712000","charlotte-nc"
1,"Female",14,"Public Administration",2020,"2020",46811,4421,"Charlotte, NC","16000US3712000","charlotte-nc"
0,"Male",1,"Agriculture, Forestry, Fishing & Hunting, & Mining",2019,"2019",40952,10779,"Charlotte, NC","16000US3712000","charlotte-nc"
0,"Male",2,"Construction",2019,"2019",34442,2703,"Charlotte, NC","16000US3712000","charlotte-nc"
0,"Male",3,"Manufacturing",2019,"2019",49119,2940,"Charlotte, NC","16000US3712000","charlotte-nc"
0,"Male",4,"Wholesale Trade",2019,"2019",47207,5663,"Charlotte, NC","16000US3712000","charlotte-nc"
0,"Male",5,"Retail Trade",2019,"2019",30793,1020,"Charlotte, NC","16000US3712000","charlotte-nc"
0,"Male",6,"Transportation & Warehousing, & Utilities",2019,"2019",41886,2484,"Charlotte, NC","16000US3712000","charlotte-nc"
0,"Male",7,"Information",2019,"2019",57071,3124,"Charlotte, NC","16000US3712000","charlotte-nc"
0,"Male",8,"Finance & Insurance, & Real Estate & Rental & Leasing",2019,"2019",89688,3876,"Charlotte, NC","16000US3712000","charlotte-nc"
0,"Male",9,"Professional, Scientific, & Management, & Administrative & Waste Management Services",2019,"2019",61616,2611,"Charlotte, NC","16000US3712000","charlotte-nc"
0,"Male",10,"Educational Services, & Health Care & Social Assistance",2019,"2019",44077,1613,"Charlotte, NC","16000US3712000","charlotte-nc"
0,"Male",11,"Arts, Entertainment, & Recreation, & Accommodations & Food Services",2019,"2019",22836,1554,"Charlotte, NC","16000US3712000","charlotte-nc"
0,"Male",13,"Other Services Except Public Administration",2019,"2019",33307,3133,"Charlotte, NC","16000US3712000","charlotte-nc"
0,"Male",14,"Public Administration",2019,"2019",54524,1948,"Charlotte, NC","16000US3712000","charlotte-nc"
1,"Female",1,"Agriculture, Forestry, Fishing & Hunting, & Mining",2019,"2019",12059,11849,"Charlotte, NC","16000US3712000","charlotte-nc"
1,"Female",2,"Construction",2019,"2019",35555,3764,"Charlotte, NC","16000US3712000","charlotte-nc"
1,"Female",3,"Manufacturing",2019,"2019",38478,3056,"Charlotte, NC","16000US3712000","charlotte-nc"
1,"Female",4,"Wholesale Trade",2019,"2019",43238,1813,"Charlotte, NC","16000US3712000","charlotte-nc"
1,"Female",5,"Retail Trade",2019,"2019",21378,847,"Charlotte, NC","16000US3712000","charlotte-nc"
1,"Female",6,"Transportation & Warehousing, & Utilities",2019,"2019",38169,2630,"Charlotte, NC","16000US3712000","charlotte-nc"
1,"Female",7,"Information",2019,"2019",49255,3290,"Charlotte, NC","16000US3712000","charlotte-nc"
1,"Female",8,"Finance & Insurance, & Real Estate & Rental & Leasing",2019,"2019",56637,2913,"Charlotte, NC","16000US3712000","charlotte-nc"
1,"Female",9,"Professional, Scientific, & Management, & Administrative & Waste Management Services",2019,"2019",39299,1671,"Charlotte, NC","16000US3712000","charlotte-nc"
1,"Female",10,"Educational Services, & Health Care & Social Assistance",2019,"2019",36920,956,"Charlotte, NC","16000US3712000","charlotte-nc"
1,"Female",11,"Arts, Entertainment, & Recreation, & Accommodations & Food Services",2019,"2019",17416,833,"Charlotte, NC","16000US3712000","charlotte-nc"
1,"Female",13,"Other Services Except Public Administration",2019,"2019",21815,1819,"Charlotte, NC","16000US3712000","charlotte-nc"
1,"Female",14,"Public Administration",2019,"2019",46230,2749,"Charlotte, NC","16000US3712000","charlotte-nc"
0,"Male",1,"Agriculture, Forestry, Fishing & Hunting, & Mining",2018,"2018",32109,11503,"Charlotte, NC","16000US3712000","charlotte-nc"
0,"Male",2,"Construction",2018,"2018",32191,989,"Charlotte, NC","16000US3712000","charlotte-nc"
0,"Male",3,"Manufacturing",2018,"2018",48386,2611,"Charlotte, NC","16000US3712000","charlotte-nc"
0,"Male",4,"Wholesale Trade",2018,"2018",43847,3670,"Charlotte, NC","16000US3712000","charlotte-nc"
0,"Male",5,"Retail Trade",2018,"2018",30517,1081,"Charlotte, NC","16000US3712000","charlotte-nc"
0,"Male",6,"Transportation & Warehousing, & Utilities",2018,"2018",41440,2367,"Charlotte, NC","16000US3712000","charlotte-nc"
0,"Male",7,"Information",2018,"2018",56153,3309,"Charlotte, NC","16000US3712000","charlotte-nc"
0,"Male",8,"Finance & Insurance, & Real Estate & Rental & Leasing",2018,"2018",85945,5001,"Charlotte, NC","16000US3712000","charlotte-nc"
0,"Male",9,"Professional, Scientific, & Management, & Administrative & Waste Management Services",2018,"2018",58175,3153,"Charlotte, NC","16000US3712000","charlotte-nc"
0,"Male",10,"Educational Services, & Health Care & Social Assistance",2018,"2018",44223,2004,"Charlotte, NC","16000US3712000","charlotte-nc"
0,"Male",11,"Arts, Entertainment, & Recreation, & Accommodations & Food Services",2018,"2018",21293,966,"Charlotte, NC","16000US3712000","charlotte-nc"
0,"Male",13,"Other Services Except Public Administration",2018,"2018",32218,1913,"Charlotte, NC","16000US3712000","charlotte-nc"
0,"Male",14,"Public Administration",2018,"2018",53517,1790,"Charlotte, NC","16000US3712000","charlotte-nc"
1,"Female",1,"Agriculture, Forestry, Fishing & Hunting, & Mining",2018,"2018",15714,15477,"Charlotte, NC","16000US3712000","charlotte-nc"
1,"Female",2,"Construction",2018,"2018",35201,3843,"Charlotte, NC","16000US3712000","charlotte-nc"
1,"Female",3,"Manufacturing",2018,"2018",38005,2583,"Charlotte, NC","16000US3712000","charlotte-nc"
1,"Female",4,"Wholesale Trade",2018,"2018",40896,2005,"Charlotte, NC","16000US3712000","charlotte-nc"
1,"Female",5,"Retail Trade",2018,"2018",21242,723,"Charlotte, NC","16000US3712000","charlotte-nc"
1,"Female",6,"Transportation & Warehousing, & Utilities",2018,"2018",39522,3420,"Charlotte, NC","16000US3712000","charlotte-nc"
1,"Female",7,"Information",2018,"2018",49089,3622,"Charlotte, NC","16000US3712000","charlotte-nc"
1,"Female",8,"Finance & Insurance, & Real Estate & Rental & Leasing",2018,"2018",55009,2573,"Charlotte, NC","16000US3712000","charlotte-nc"
1,"Female",9,"Professional, Scientific, & Management, & Administrative & Waste Management Services",2018,"2018",36537,868,"Charlotte, NC","16000US3712000","charlotte-nc"
1,"Female",10,"Educational Services, & Health Care & Social Assistance",2018,"2018",35856,605,"Charlotte, NC","16000US3712000","charlotte-nc"
1,"Female",11,"Arts, Entertainment, & Recreation, & Accommodations & Food Services",2018,"2018",16729,716,"Charlotte, NC","16000US3712000","charlotte-nc"
1,"Female",13,"Other Services Except Public Administration",2018,"2018",20853,1051,"Charlotte, NC","16000US3712000","charlotte-nc"
1,"Female",14,"Public Administration",2018,"2018",44151,3595,"Charlotte, NC","16000US3712000","charlotte-nc"
0,"Male",1,"Agriculture, Forestry, Fishing & Hunting, & Mining",2017,"2017",50037,17889,"Charlotte, NC","16000US3712000","charlotte-nc"
0,"Male",2,"Construction",2017,"2017",30539,1072,"Charlotte, NC","16000US3712000","charlotte-nc"
0,"Male",3,"Manufacturing",2017,"2017",47472,3299,"Charlotte, NC","16000US3712000","charlotte-nc"
0,"Male",4,"Wholesale Trade",2017,"2017",45719,5025,"Charlotte, NC","16000US3712000","charlotte-nc"
0,"Male",5,"Retail Trade",2017,"2017",29276,2276,"Charlotte, NC","16000US3712000","charlotte-nc"
0,"Male",6,"Transportation & Warehousing, & Utilities",2017,"2017",41545,1599,"Charlotte, NC","16000US3712000","charlotte-nc"
0,"Male",7,"Information",2017,"2017",52551,2830,"Charlotte, NC","16000US3712000","charlotte-nc"
0,"Male",8,"Finance & Insurance, & Real Estate & Rental & Leasing",2017,"2017",84589,3692,"Charlotte, NC","16000US3712000","charlotte-nc"
0,"Male",9,"Professional, Scientific, & Management, & Administrative & Waste Management Services",2017,"2017",55807,2966,"Charlotte, NC","16000US3712000","charlotte-nc"
0,"Male",10,"Educational Services, & Health Care & Social Assistance",2017,"2017",42151,1591,"Charlotte, NC","16000US3712000","charlotte-nc"
0,"Male",11,"Arts, Entertainment, & Recreation, & Accommodations & Food Services",2017,"2017",21253,958,"Charlotte, NC","16000US3712000","charlotte-nc"
0,"Male",13,"Other Services Except Public Administration",2017,"2017",31184,1169,"Charlotte, NC","16000US3712000","charlotte-nc"
